idx,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,0.12903450283111625,0.12126134000996469,0.12903450283111625,0.14378130315467239,0.12903450283111625,0.1378724824770831,0.15021927195264279,0.1378724824770831,0.13243014764246142,0.12903450283111625,0.1378724824770831,0.11981775262889369,0.13600934082198737,0.1274011546940135,0.12425544717070452
1,0.25161728052067667,0.25161728052067667,0.26486029528492283,0.25161728052067667,0.23963550525778737,0.245480273678709,0.26486029528492283,0.26486029528492283,0.2960203300243255,0.25161728052067667,0.23406258653086204,0.23406258653086204,0.245480273678709,0.22365980490726814,0.245480273678709
2,0.12425544717070452,0.12903450283111625,0.13243014764246142,0.12580864026033833,0.11981775262889369,0.11703129326543102,0.13071027559515672,0.1227401368393545,0.13978737806704258,0.14378130315467239,0.14175621437784602,0.1274011546940135,0.11703129326543102,0.1274011546940135,0.12580864026033833
3,0.1797266289433405,0.1829943858332194,0.19355175424667437,0.205401861649532,0.20129382441654134,0.205401861649532,0.1829943858332194,0.18989983435522767,0.17058798679367912,0.18638317075605682,0.1829943858332194,0.20968106710056392,0.1797266289433405,0.18638317075605682,0.17058798679367912
4,0.13243014764246142,0.14586509015691404,0.1341958829443609,0.13600934082198737,0.1623337293681785,0.13600934082198737,0.15249532152768283,0.15484140339733948,0.15484140339733948,0.14378130315467239,0.14586509015691404,0.14175621437784602,0.13978737806704258,0.09965040812700067,0.13243014764246142
5,0.08317926628782701,0.07346489942209537,0.078020862176954,0.06893624123854156,0.07346489942209537,0.07567437008140651,0.07240785050954726,0.08182675789290299,0.07742070169866974,0.08387242684022557,0.09233661670483548,0.09319158537802841,0.08828676509497428,0.08751905409414842,0.08529399339683956
6,0.18989983435522767,0.19355175424667437,0.18638317075605682,0.19355175424667437,0.18638317075605682,0.205401861649532,0.20968106710056392,0.205401861649532,0.19355175424667437,0.20129382441654134,0.19355175424667437,0.1973468866828837,0.1797266289433405,0.17352915897977703,0.1623337293681785
7,0.14801016501216274,0.13600934082198737,0.11437149114576214,0.09771544874589387,0.1184081320097302,0.102700930824766,0.08529399339683956,0.13071027559515672,0.14586509015691404,0.1341958829443609,0.10064691220827067,0.10375970330749554,0.09771544874589387,0.09585420210311492,0.11703129326543102
8,0.08602300188741084,0.08986331447167024,0.10484053355028196,0.10484053355028196,0.10822248624545232,0.10939881761768551,0.10939881761768551,0.11182990245363407,0.11703129326543102,0.11060100242667106,0.10594411811396914,0.10707118320028795,0.115686105986518,0.115686105986518,0.11060100242667106
9,0.31452160065084583,0.28756260630934477,0.27957475613408517,0.28756260630934477,0.2960203300243255,0.2960203300243255,0.27201868164397475,0.27201868164397475,0.26486029528492283,0.27957475613408517,0.31452160065084583,0.26486029528492283,0.27201868164397475,0.2580690056622325,0.26486029528492283
10,0.10484053355028196,0.10484053355028196,0.10594411811396914,0.10939881761768551,0.11308641821154007,0.1184081320097302,0.11981775262889369,0.12425544717070452,0.11437149114576214,0.10707118320028795,0.09677587712333718,0.11060100242667106,0.11981775262889369,0.11981775262889369,0.11437149114576214
11,0.19355175424667437,0.20129382441654134,0.20129382441654134,0.20129382441654134,0.19355175424667437,0.19355175424667437,0.19355175424667437,0.205401861649532,0.20968106710056392,0.17657353018994856,0.19355175424667437,0.20129382441654134,0.21879763523537102,0.20129382441654134,0.20968106710056392
12,0.17657353018994856,0.17657353018994856,0.16774485368045114,0.14586509015691404,0.19355175424667437,0.18638317075605682,0.1623337293681785,0.15975700350519156,0.14378130315467239,0.1623337293681785,0.16774485368045114,0.15726080032542292,0.20968106710056392,0.19355175424667437,0.17352915897977703
13,0.15975700350519156,0.17352915897977703,0.17657353018994856,0.18638317075605682,0.1973468866828837,0.1797266289433405,0.18638317075605682,0.18638317075605682,0.1797266289433405,0.18989983435522767,0.18989983435522767,0.19355175424667437,0.18989983435522767,0.16499493804634535,0.18638317075605682
14,0.23963550525778737,0.23963550525778737,0.23963550525778737,0.2287429822915243,0.2287429822915243,0.21879763523537102,0.2580690056622325,0.23963550525778737,0.2287429822915243,0.245480273678709,0.245480273678709,0.21879763523537102,0.20968106710056392,0.2141423664005759,0.23963550525778737
15,0.14801016501216274,0.15249532152768283,0.13978737806704258,0.12580864026033833,0.13243014764246142,0.13071027559515672,0.14801016501216274,0.15249532152768283,0.15249532152768283,0.15726080032542292,0.15021927195264279,0.14175621437784602,0.16774485368045114,0.17058798679367912,0.16499493804634535
16,0.1797266289433405,0.18638317075605682,0.18638317075605682,0.1829943858332194,0.19355175424667437,0.1797266289433405,0.17352915897977703,0.18638317075605682,0.18638317075605682,0.1797266289433405,0.20129382441654134,0.19355175424667437,0.1829943858332194,0.19355175424667437,0.19355175424667437
17,0.28756260630934477,0.31452160065084583,0.27957475613408517,0.30499064305536566,0.31452160065084583,0.30499064305536566,0.27201868164397475,0.25161728052067667,0.23406258653086204,0.22365980490726814,0.245480273678709,0.245480273678709,0.25161728052067667,0.25161728052067667,0.23963550525778737
18,0.1274011546940135,0.12580864026033833,0.1274011546940135,0.14586509015691404,0.1378724824770831,0.15726080032542292,0.14378130315467239,0.14378130315467239,0.15484140339733948,0.15021927195264279,0.13600934082198737,0.1184081320097302,0.1378724824770831,0.13071027559515672,0.12580864026033833
19,0.1829943858332194,0.18638317075605682,0.17657353018994856,0.17058798679367912,0.17657353018994856,0.14801016501216274,0.14801016501216274,0.13071027559515672,0.1274011546940135,0.12580864026033833,0.14175621437784602,0.1227401368393545,0.14175621437784602,0.13243014764246142,0.13600934082198737
20,0.13071027559515672,0.14801016501216274,0.14586509015691404,0.15726080032542292,0.14175621437784602,0.12580864026033833,0.14586509015691404,0.13600934082198737,0.15021927195264279,0.16499493804634535,0.14801016501216274,0.15726080032542292,0.15249532152768283,0.15021927195264279,0.16499493804634535
21,0.26486029528492283,0.25161728052067667,0.26486029528492283,0.27201868164397475,0.2287429822915243,0.25161728052067667,0.26486029528492283,0.26486029528492283,0.2580690056622325,0.26486029528492283,0.2580690056622325,0.26486029528492283,0.26486029528492283,0.27201868164397475,0.27957475613408517
22,0.22365980490726814,0.22365980490726814,0.23963550525778737,0.2287429822915243,0.2287429822915243,0.23963550525778737,0.25161728052067667,0.245480273678709,0.23963550525778737,0.23406258653086204,0.26486029528492283,0.27957475613408517,0.2960203300243255,0.28756260630934477,0.2960203300243255
